Strike,Last Sale,Bid/Ask Avg,IV
3500,2.05,2.025,0.4697
3510,1.4,2.075,0.4678
3520,1.5,2.1,0.4651
3525,1.6,2.125,0.4631
3530,1.4,2.15,0.4624
3540,1.55,2.175,0.4597
3550,1.6,2.25,0.457
3560,2.33,2.3,0.4542
3570,1.65,2.325,0.4514
3575,2.05,2.375,0.4494
3580,1.7,2.375,0.4485
3590,2.5,2.45,0.4458
3600,2.54,2.5,0.4429
3610,2.55,2.525,0.4399
3620,1.85,2.575,0.437
3625,2.45,2.625,0.4361
3630,1.9,2.65,0.4341
3640,1.8,2.725,0.4311
3650,2.79,2.775,0.4292
3660,2.7,2.825,0.4266
3665,2.05,2.825,0.4246
3670,2.05,2.875,0.4231
3675,2.1,2.925,0.4216
3680,1.95,2.925,0.4205
3685,2.85,3,0.4185
3690,2.9,3,0.4164
3695,2.9,3.025,0.4164
3700,3.2,3.1,0.4143
3705,3.2,3.1,0.4123
3710,3,3.1,0.4121
3715,2.95,3.15,0.4101
3720,3,3.2,0.408
3725,3,3.2,0.4078
3730,3.2,3.25,0.4058
3735,2.3,3.3,0.4037
3740,2.35,3.3,0.4034
3745,3.4,3.35,0.4014
3750,3.35,3.4,0.4002
3755,2.45,3.4,0.399
3760,3.5,3.45,0.397
3765,3.2,3.5,0.3958
3770,2.5,3.5,0.3946
3775,3.3,3.55,0.3925
3780,2.6,3.6,0.3913
3785,2.55,3.6,0.39
3790,2.6,3.65,0.388
3795,2.94,3.7,0.3875
3800,3.38,3.7,0.3854
3805,2.65,3.75,0.3849
3810,2.7,3.8,0.3829
3815,2.75,3.85,0.3808
3820,2.75,3.85,0.3802
3825,3.38,3.9,0.3782
3830,2.85,3.95,0.3775
3835,2.85,4,0.3755
3840,4.21,4,0.3735
3845,2.85,4.05,0.3728
3850,4.08,4.1,0.3707
3855,2.9,4.15,0.3701
3860,3.5,4.2,0.368
3865,3.13,4.25,0.3666
3870,4,4.3,0.3652
3875,4.2,4.3,0.3638
3880,3.5,4.35,0.3624
3885,3.2,4.4,0.3603
3890,3.2,4.45,0.3595
3895,3.3,4.5,0.3574
3900,4.7,4.55,0.3567
3905,3.3,4.55,0.3546
3910,4.19,4.65,0.3537
3915,3.4,4.65,0.3516
3920,3.63,4.75,0.3508
3925,4.32,4.75,0.3487
3930,3.6,4.85,0.3477
3935,3.6,4.85,0.3457
3940,3.7,4.95,0.3447
3945,3.7,4.95,0.3432
